Country Name,Country Code,Series Name,Series Code,2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"Population ages 80 and above, male",SP.POP.80UP.MA,41192,42889
Afghanistan,AFG,"Population ages 80 and above, female",SP.POP.80UP.FE,62400,65171
Afghanistan,AFG,"Population ages 65-69, male",SP.POP.6569.MA,180201,185953
Afghanistan,AFG,"Population ages 65-69, female",SP.POP.6569.FE,230556,238224
Afghanistan,AFG,"Population ages 70-74, female",SP.POP.7074.FE,158708,161484
Afghanistan,AFG,"Population ages 70-74, male",SP.POP.7074.MA,115823,119174
Afghanistan,AFG,"Population ages 75-79, female",SP.POP.7579.FE,98070,102489
Afghanistan,AFG,"Population ages 75-79, male",SP.POP.7579.MA,68739,70220
Afghanistan,AFG,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.993,5.797
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,57.4,55.5
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.617,66.035
Africa Eastern and Southern,AFE,"Population ages 80 and above, male",SP.POP.80UP.MA,1211644,1244237
Africa Eastern and Southern,AFE,"Population ages 80 and above, female",SP.POP.80UP.FE,2109792,2166717
Africa Eastern and Southern,AFE,"Population ages 65-69, male",SP.POP.6569.MA,4408054,4559064
Africa Eastern and Southern,AFE,"Population ages 65-69, female",SP.POP.6569.FE,5493207,5705978
Africa Eastern and Southern,AFE,"Population ages 70-74, female",SP.POP.7074.FE,3724871,3896500
Africa Eastern and Southern,AFE,"Population ages 70-74, male",SP.POP.7074.MA,2894194,3007232
Africa Eastern and Southern,AFE,"Population ages 75-79, female",SP.POP.7579.FE,2270159,2368216
Africa Eastern and Southern,AFE,"Population ages 75-79, male",SP.POP.7579.MA,1643827,1715483
Africa Eastern and Southern,AFE,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.24516294858984,6.97862104262172
Africa Eastern and Southern,AFE,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,56.6449066839014,53.8062516481712
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.4870195456608,65.1461543479959
Africa Western and Central,AFW,"Population ages 80 and above, male",SP.POP.80UP.MA,733196,758808
Africa Western and Central,AFW,"Population ages 80 and above, female",SP.POP.80UP.FE,951541,982183
Africa Western and Central,AFW,"Population ages 65-69, male",SP.POP.6569.MA,2972359,3080769
Africa Western and Central,AFW,"Population ages 65-69, female",SP.POP.6569.FE,3316672,3428941
Africa Western and Central,AFW,"Population ages 70-74, female",SP.POP.7074.FE,2223125,2299224
Africa Western and Central,AFW,"Population ages 70-74, male",SP.POP.7074.MA,1917838,1984000
Africa Western and Central,AFW,"Population ages 75-79, female",SP.POP.7579.FE,1361277,1388677
Africa Western and Central,AFW,"Population ages 75-79, male",SP.POP.7579.MA,1146137,1167045
Africa Western and Central,AFW,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,10.3375867292438,9.64037517002624
Africa Western and Central,AFW,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,95.4174092711161,88.7263351835126
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,57.9878133945189,58.8557215483277
Albania,ALB,"Population ages 80 and above, male",SP.POP.80UP.MA,38215,38756
Albania,ALB,"Population ages 80 and above, female",SP.POP.80UP.FE,47823,48560
Albania,ALB,"Population ages 65-69, male",SP.POP.6569.MA,63394,64757
Albania,ALB,"Population ages 65-69, female",SP.POP.6569.FE,69248,71112
Albania,ALB,"Population ages 70-74, female",SP.POP.7074.FE,51922,53072
Albania,ALB,"Population ages 70-74, male",SP.POP.7074.MA,47077,48003
Albania,ALB,"Population ages 75-79, female",SP.POP.7579.FE,36244,36414
Albania,ALB,"Population ages 75-79, male",SP.POP.7579.MA,32855,32871
Albania,ALB,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,8.709,8.332
Albania,ALB,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,9.4,9.4
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.769,79.602
Algeria,DZA,"Population ages 80 and above, male",SP.POP.80UP.MA,189307,192429
Algeria,DZA,"Population ages 80 and above, female",SP.POP.80UP.FE,251889,259114
Algeria,DZA,"Population ages 65-69, male",SP.POP.6569.MA,576430,596188
Algeria,DZA,"Population ages 65-69, female",SP.POP.6569.FE,570409,592208
Algeria,DZA,"Population ages 70-74, female",SP.POP.7074.FE,397215,423497
Algeria,DZA,"Population ages 70-74, male",SP.POP.7074.MA,388998,417986
Algeria,DZA,"Population ages 75-79, female",SP.POP.7579.FE,239033,250403
Algeria,DZA,"Population ages 75-79, male",SP.POP.7579.MA,200389,212002
Algeria,DZA,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,4.602,4.641
Algeria,DZA,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,22.3,22
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.129,76.261
American Samoa,ASM,"Population ages 80 and above, male",SP.POP.80UP.MA,178,186
American Samoa,ASM,"Population ages 80 and above, female",SP.POP.80UP.FE,266,274
American Samoa,ASM,"Population ages 65-69, male",SP.POP.6569.MA,738,765
American Samoa,ASM,"Population ages 65-69, female",SP.POP.6569.FE,746,778
American Samoa,ASM,"Population ages 70-74, female",SP.POP.7074.FE,513,531
American Samoa,ASM,"Population ages 70-74, male",SP.POP.7074.MA,452,470
American Samoa,ASM,"Population ages 75-79, female",SP.POP.7579.FE,299,323
American Samoa,ASM,"Population ages 75-79, male",SP.POP.7579.MA,245,261
American Samoa,ASM,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,6.815,7.021
American Samoa,ASM,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.752,72.852
Andorra,AND,"Population ages 80 and above, male",SP.POP.80UP.MA,1151,1203
Andorra,AND,"Population ages 80 and above, female",SP.POP.80UP.FE,1692,1757
Andorra,AND,"Population ages 65-69, male",SP.POP.6569.MA,2031,2129
Andorra,AND,"Population ages 65-69, female",SP.POP.6569.FE,1863,1980
Andorra,AND,"Population ages 70-74, female",SP.POP.7074.FE,1461,1498
Andorra,AND,"Population ages 70-74, male",SP.POP.7074.MA,1511,1549
Andorra,AND,"Population ages 75-79, female",SP.POP.7579.FE,1096,1147
Andorra,AND,"Population ages 75-79, male",SP.POP.7579.MA,1126,1203
Andorra,AND,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,5.948,6.076
Andorra,AND,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,2.7,2.6
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,84.016,84.041
Angola,AGO,"Population ages 80 and above, male",SP.POP.80UP.MA,43796,45394
Angola,AGO,"Population ages 80 and above, female",SP.POP.80UP.FE,74149,77203
Angola,AGO,"Population ages 65-69, male",SP.POP.6569.MA,198537,208823
Angola,AGO,"Population ages 65-69, female",SP.POP.6569.FE,235203,247863
Angola,AGO,"Population ages 70-74, female",SP.POP.7074.FE,150620,156984
Angola,AGO,"Population ages 70-74, male",SP.POP.7074.MA,120050,125190
Angola,AGO,"Population ages 75-79, female",SP.POP.7579.FE,97395,100370
Angola,AGO,"Population ages 75-79, male",SP.POP.7579.MA,68530,71379
Angola,AGO,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.097,6.925
Angola,AGO,"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,66.4,64
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.246,64.617
Antigua and Barbuda,ATG,"Population ages 80 and above, male",SP.POP.80UP.MA,573,595
Antigua and Barbuda,ATG,"Population ages 80 and above, female",SP.POP.80UP.FE,1235,1280
Antigua and Barbuda,ATG,"Population ages 65-69, male",SP.POP.6569.MA,1652,1756
Antigua and Barbuda,ATG,"Population ages 65-69, female",SP.POP.6569.FE,2111,2240
